id,input_tokens,output
12785,C_10 C_15 C_18 C_28 C_29,1-7-2
12786,C_01 C_05 C_11 C_22 C_26,1-8-3
12787,C_10 C_12 C_17 C_19 C_27,0-5-4
12788,C_00 C_04 C_10 C_12 C_23,0-8-0
12789,C_00 C_01 C_09 C_17 C_29,1-3-4
12790,C_08 C_23 C_24 C_26 C_27,1-8-3
12791,C_09 C_15 C_20 C_26 C_29,0-4-4
12792,C_01 C_05 C_22 C_24 C_29,0-8-2
12793,C_01 C_19 C_20 C_25 C_26,1-5-2
12794,C_03 C_12 C_20 C_22 C_28,1-7-2
12795,C_03 C_07 C_10 C_23 C_26,0-8-1
12796,C_00 C_06 C_08 C_09 C_18,1-7-1
12797,C_02 C_06 C_13 C_23 C_24,1-8-0
12798,C_00 C_04 C_08 C_21 C_28,0-8-2
12799,C_03 C_12 C_16 C_26 C_27,0-4-2
12800,C_04 C_05 C_07 C_17 C_29,0-8-2
12801,C_06 C_09 C_15 C_23 C_24,1-8-2
12802,C_03 C_05 C_08 C_21 C_22,0-8-2
12803,C_01 C_07 C_23 C_25 C_27,1-8-4
12804,C_00 C_03 C_15 C_17 C_28,0-7-1
12805,C_05 C_14 C_18 C_21 C_29,1-9-2
12806,C_06 C_13 C_22 C_26 C_29,1-7-3
12807,C_05 C_10 C_14 C_18 C_20,0-9-3
12808,C_01 C_04 C_11 C_14 C_26,0-9-2
12809,C_08 C_12 C_21 C_23 C_25,1-8-0
12810,C_05 C_09 C_21 C_26 C_27,0-8-3
12811,C_00 C_04 C_09 C_18 C_21,1-8-3
12812,C_00 C_01 C_16 C_23 C_24,0-8-0
12813,C_03 C_05 C_09 C_11 C_26,0-8-1
12814,C_02 C_10 C_14 C_16 C_25,1-9-3
12815,C_09 C_11 C_12 C_17 C_21,1-8-1
12816,C_04 C_10 C_11 C_17 C_29,1-5-0
12817,C_00 C_06 C_12 C_18 C_19,1-7-2
12818,C_04 C_05 C_11 C_24 C_27,0-8-3
12819,C_04 C_13 C_18 C_23 C_28,1-8-0
12820,C_05 C_06 C_12 C_25 C_26,1-8-1
12821,C_03 C_11 C_12 C_13 C_24,1-6-1
12822,C_01 C_02 C_06 C_13 C_22,1-8-2
12823,C_01 C_05 C_14 C_20 C_28,0-9-0
12824,C_07 C_08 C_13 C_16 C_20,0-6-3
12825,C_06 C_13 C_14 C_25 C_26,1-9-4
12826,C_04 C_07 C_08 C_09 C_15,0-5-1
12827,C_03 C_11 C_15 C_17 C_27,0-5-3
12828,C_02 C_07 C_18 C_25 C_26,1-8-2
12829,C_01 C_02 C_05 C_22 C_27,1-8-3
12830,C_01 C_06 C_11 C_18 C_28,1-7-4
12831,C_03 C_05 C_11 C_15 C_27,0-8-1
12832,C_02 C_10 C_12 C_22 C_28,0-8-0
12833,C_00 C_09 C_11 C_14 C_25,1-9-1
12834,C_00 C_07 C_09 C_11 C_24,0-5-3
12835,C_03 C_11 C_20 C_21 C_26,0-8-4
12836,C_01 C_04 C_11 C_12 C_25,1-5-0
12837,C_00 C_12 C_20 C_24 C_27,1-4-4
12838,C_05 C_06 C_11 C_25 C_27,0-8-2
12839,C_06 C_08 C_10 C_18 C_20,1-7-0
12840,C_00 C_07 C_08 C_13 C_19,0-6-2
12841,C_01 C_03 C_13 C_25 C_26,0-6-0
12842,C_06 C_18 C_23 C_25 C_29,0-8-0
12843,C_03 C_12 C_13 C_15 C_26,1-6-4
12844,C_04 C_12 C_23 C_24 C_26,0-8-2
12845,C_00 C_09 C_12 C_23 C_25,0-8-1
12846,C_06 C_08 C_14 C_22 C_25,1-9-3
12847,C_04 C_19 C_24 C_25 C_29,0-5-3
12848,C_04 C_07 C_11 C_16 C_18,0-7-1
12849,C_02 C_03 C_15 C_24 C_26,1-8-2
12850,C_00 C_01 C_20 C_27 C_28,0-7-2
12851,C_16 C_19 C_21 C_24 C_27,0-8-2
12852,C_08 C_09 C_11 C_14 C_20,0-9-3
12853,C_01 C_02 C_03 C_15 C_16,1-8-1
12854,C_00 C_17 C_19 C_20 C_23,1-8-3
12855,C_03 C_04 C_17 C_24 C_28,1-7-1
12856,C_06 C_18 C_19 C_27 C_29,0-7-1
12857,C_06 C_08 C_19 C_21 C_22,0-8-1
12858,C_02 C_06 C_10 C_21 C_29,0-8-3
12859,C_06 C_13 C_19 C_20 C_25,1-6-3
12860,C_08 C_10 C_13 C_17 C_22,1-7-1
12861,C_00 C_07 C_13 C_19 C_27,0-6-3
12862,C_02 C_03 C_07 C_14 C_25,1-9-1
12863,C_01 C_13 C_14 C_17 C_18,0-9-3
12864,C_19 C_24 C_25 C_26 C_27,1-5-0
12865,C_01 C_03 C_16 C_19 C_25,1-5-1
12866,C_00 C_10 C_19 C_27 C_29,0-5-1
12867,C_03 C_05 C_19 C_23 C_29,1-8-0
12868,C_01 C_07 C_10 C_12 C_13,0-6-3
12869,C_01 C_12 C_19 C_21 C_23,0-8-3
12870,C_02 C_12 C_13 C_16 C_26,0-8-4
12871,C_03 C_06 C_10 C_13 C_18,1-7-3
12872,C_03 C_05 C_19 C_23 C_24,1-8-0
12873,C_11 C_12 C_19 C_25 C_27,0-5-3
12874,C_00 C_08 C_10 C_18 C_23,1-8-0
12875,C_02 C_05 C_13 C_22 C_28,1-8-0
12876,C_02 C_04 C_06 C_08 C_18,1-8-3
12877,C_00 C_12 C_16 C_18 C_22,0-7-0
12878,C_03 C_06 C_11 C_20 C_23,1-8-1
12879,C_08 C_14 C_16 C_17 C_29,1-9-3
12880,C_15 C_17 C_25 C_26 C_29,0-5-3
12881,C_01 C_15 C_19 C_28 C_29,0-7-0
12882,C_04 C_12 C_17 C_20 C_22,1-7-0
12883,C_00 C_04 C_05 C_16 C_19,0-8-1
12884,C_03 C_09 C_12 C_19 C_21,0-8-3
12885,C_02 C_19 C_22 C_23 C_29,0-8-2
12886,C_00 C_16 C_19 C_27 C_28,0-7-3
12887,C_15 C_17 C_21 C_22 C_29,1-8-3
12888,C_00 C_04 C_06 C_08 C_11,0-5-0
12889,C_08 C_10 C_11 C_21 C_28,0-8-4
12890,C_10 C_16 C_22 C_27 C_29,0-7-0
12891,C_00 C_02 C_03 C_20 C_29,0-8-3
12892,C_01 C_09 C_12 C_14 C_20,0-9-3
12893,C_07 C_14 C_17 C_21 C_28,1-9-3
12894,C_10 C_15 C_17 C_23 C_26,0-8-3
12895,C_02 C_11 C_18 C_20 C_25,1-8-2
12896,C_03 C_16 C_18 C_26 C_27,0-7-1
12897,C_01 C_04 C_14 C_16 C_23,0-9-0
12898,C_01 C_15 C_16 C_19 C_29,1-5-4
12899,C_19 C_20 C_23 C_24 C_29,1-8-0
12900,C_10 C_18 C_20 C_21 C_23,0-8-2
12901,C_02 C_03 C_10 C_13 C_26,0-8-4
12902,C_05 C_10 C_14 C_23 C_26,1-9-3
12903,C_09 C_13 C_15 C_23 C_28,0-8-4
12904,C_01 C_04 C_07 C_26 C_29,1-3-0
12905,C_03 C_08 C_10 C_14 C_23,0-9-3
12906,C_11 C_14 C_20 C_25 C_28,0-9-3
12907,C_01 C_12 C_13 C_14 C_25,0-9-4
12908,C_05 C_09 C_11 C_14 C_23,0-9-3
12909,C_05 C_14 C_16 C_24 C_29,1-9-0
12910,C_03 C_04 C_08 C_16 C_29,1-5-4
12911,C_03 C_10 C_14 C_22 C_26,1-9-4
12912,C_06 C_07 C_09 C_15 C_24,1-3-2
12913,C_07 C_13 C_19 C_22 C_25,1-7-4
12914,C_00 C_07 C_18 C_22 C_27,1-7-1
12915,C_06 C_13 C_15 C_20 C_26,0-6-4
12916,C_10 C_16 C_20 C_22 C_28,1-7-2
12917,C_06 C_11 C_15 C_16 C_24,0-5-1
12918,C_01 C_03 C_05 C_10 C_13,1-8-0
12919,C_02 C_04 C_13 C_24 C_26,0-8-3
12920,C_06 C_09 C_17 C_20 C_29,0-4-4
12921,C_01 C_02 C_09 C_18 C_20,1-8-0
12922,C_01 C_06 C_07 C_09 C_13,0-6-2
12923,C_01 C_09 C_16 C_24 C_25,1-5-2
12924,C_02 C_05 C_26 C_27 C_28,1-8-1
12925,C_00 C_01 C_02 C_20 C_25,0-8-1
12926,C_00 C_04 C_11 C_20 C_22,0-7-3
12927,C_01 C_02 C_08 C_11 C_25,1-8-3
12928,C_02 C_08 C_10 C_13 C_29,0-8-1
12929,C_12 C_18 C_20 C_22 C_27,1-7-1
12930,C_02 C_06 C_15 C_16 C_21,1-8-4
12931,C_19 C_20 C_22 C_28 C_29,0-7-2
12932,C_00 C_03 C_04 C_12 C_17,0-3-4
12933,C_12 C_20 C_23 C_24 C_29,0-8-1
12934,C_02 C_14 C_21 C_24 C_28,1-9-0
12935,C_00 C_12 C_14 C_15 C_29,1-9-3
12936,C_20 C_21 C_23 C_24 C_29,1-8-4
12937,C_00 C_15 C_16 C_17 C_21,0-8-1
12938,C_03 C_08 C_13 C_14 C_24,0-9-0
12939,C_04 C_09 C_13 C_26 C_27,0-6-2
12940,C_03 C_06 C_15 C_26 C_28,0-7-0
12941,C_14 C_15 C_16 C_22 C_24,0-9-1
12942,C_06 C_12 C_13 C_21 C_22,0-8-0
12943,C_00 C_01 C_12 C_15 C_26,0-3-2
12944,C_00 C_01 C_02 C_17 C_23,1-8-2
12945,C_02 C_14 C_17 C_20 C_25,1-9-3
12946,C_01 C_03 C_05 C_12 C_26,1-8-1
12947,C_10 C_11 C_17 C_18 C_21,1-8-1
12948,C_06 C_07 C_12 C_18 C_29,1-7-0
12949,C_03 C_15 C_16 C_22 C_23,0-8-4
12950,C_01 C_12 C_15 C_17 C_26,0-3-3
12951,C_05 C_06 C_08 C_10 C_17,0-8-2
12952,C_01 C_04 C_08 C_22 C_25,1-7-0
12953,C_00 C_02 C_09 C_11 C_20,0-8-1
12954,C_02 C_04 C_20 C_22 C_27,1-8-2
12955,C_09 C_12 C_21 C_26 C_29,1-8-3
12956,C_02 C_06 C_20 C_24 C_25,0-8-2
12957,C_19 C_23 C_24 C_27 C_28,0-8-3
12958,C_00 C_03 C_09 C_11 C_12,0-5-4
12959,C_02 C_04 C_12 C_13 C_28,0-8-0
12960,C_02 C_17 C_18 C_25 C_28,0-8-4
12961,C_03 C_16 C_22 C_23 C_29,1-8-0
12962,C_02 C_03 C_05 C_07 C_21,0-8-3
12963,C_03 C_06 C_08 C_12 C_21,0-8-4
12964,C_02 C_11 C_12 C_13 C_21,1-8-1
12965,C_00 C_02 C_07 C_27 C_28,1-8-2
12966,C_03 C_07 C_10 C_20 C_29,1-4-0
12967,C_08 C_13 C_16 C_22 C_23,0-8-1
12968,C_01 C_03 C_14 C_15 C_24,1-9-4
12969,C_02 C_06 C_08 C_10 C_21,0-8-4
12970,C_13 C_16 C_22 C_23 C_29,0-8-0
12971,C_06 C_20 C_23 C_26 C_29,0-8-1
12972,C_02 C_13 C_17 C_25 C_27,1-8-4
12973,C_04 C_16 C_23 C_25 C_27,0-8-3
12974,C_01 C_05 C_06 C_22 C_28,0-8-4
12975,C_00 C_03 C_10 C_12 C_25,0-5-1
12976,C_07 C_08 C_12 C_14 C_16,0-9-3
12977,C_06 C_14 C_20 C_21 C_27,1-9-4
12978,C_03 C_05 C_06 C_12 C_15,1-8-2
12979,C_11 C_21 C_23 C_25 C_28,0-8-3
12980,C_02 C_06 C_11 C_25 C_28,0-8-4
12981,C_08 C_16 C_27 C_28 C_29,0-7-2
12982,C_07 C_14 C_18 C_20 C_28,0-9-1
12983,C_04 C_09 C_15 C_25 C_28,1-7-2
12984,C_06 C_15 C_17 C_23 C_27,1-8-0
12985,C_07 C_09 C_14 C_15 C_20,0-9-0
12986,C_00 C_01 C_03 C_05 C_12,0-8-2
12987,C_00 C_03 C_15 C_21 C_26,0-8-4
12988,C_08 C_12 C_16 C_25 C_28,1-7-4
12989,C_00 C_13 C_14 C_15 C_29,0-9-0
12990,C_02 C_04 C_09 C_11 C_24,1-8-1
12991,C_00 C_05 C_14 C_21 C_25,1-9-4
12992,C_05 C_08 C_10 C_24 C_26,1-8-3
12993,C_15 C_18 C_23 C_27 C_29,0-8-2
12994,C_08 C_12 C_18 C_24 C_25,0-7-1
12995,C_03 C_19 C_21 C_22 C_28,0-8-2
12996,C_10 C_19 C_20 C_24 C_25,1-5-4
12997,C_08 C_09 C_10 C_11 C_22,1-7-2
12998,C_11 C_12 C_14 C_17 C_18,1-9-2
12999,C_08 C_12 C_24 C_26 C_27,1-5-0
13000,C_03 C_16 C_17 C_18 C_22,0-7-3
13001,C_05 C_07 C_11 C_26 C_29,1-8-1
13002,C_03 C_08 C_13 C_18 C_29,0-7-0
13003,C_06 C_10 C_18 C_23 C_26,0-8-0
13004,C_03 C_05 C_08 C_24 C_26,0-8-0
13005,C_02 C_08 C_17 C_19 C_23,0-8-3
13006,C_03 C_05 C_13 C_20 C_21,1-8-2
13007,C_15 C_16 C_17 C_18 C_25,1-7-3
13008,C_11 C_12 C_16 C_25 C_27,0-5-1
13009,C_05 C_07 C_11 C_16 C_28,0-8-0
13010,C_05 C_09 C_10 C_12 C_13,1-8-4
13011,C_00 C_07 C_08 C_24 C_28,0-7-2
13012,C_02 C_03 C_08 C_09 C_19,0-8-1
13013,C_00 C_04 C_15 C_19 C_26,1-5-1
13014,C_03 C_05 C_07 C_17 C_29,1-8-1
13015,C_11 C_16 C_22 C_27 C_28,0-7-4
13016,C_04 C_06 C_17 C_22 C_24,0-7-1
13017,C_04 C_10 C_13 C_20 C_24,1-6-0
13018,C_03 C_08 C_14 C_17 C_21,1-9-3
13019,C_02 C_06 C_12 C_20 C_24,1-8-2
13020,C_17 C_18 C_21 C_25 C_29,0-8-0
13021,C_04 C_08 C_09 C_10 C_27,0-5-1
13022,C_03 C_05 C_07 C_17 C_19,0-8-2
13023,C_04 C_09 C_19 C_20 C_24,1-5-1
13024,C_00 C_06 C_09 C_12 C_22,0-7-3
13025,C_09 C_13 C_15 C_16 C_29,1-6-3
13026,C_00 C_01 C_16 C_18 C_26,0-7-1
13027,C_01 C_04 C_07 C_24 C_25,0-5-2
13028,C_00 C_06 C_11 C_18 C_25,0-7-2
13029,C_09 C_15 C_23 C_25 C_27,0-8-4
13030,C_06 C_08 C_11 C_14 C_27,0-9-2
13031,C_02 C_03 C_05 C_13 C_20,1-8-1
13032,C_13 C_20 C_22 C_24 C_25,1-7-2
13033,C_01 C_03 C_04 C_07 C_29,1-3-4
13034,C_01 C_03 C_11 C_14 C_23,1-9-1
13035,C_02 C_11 C_15 C_18 C_29,0-8-0
13036,C_01 C_06 C_12 C_13 C_29,1-6-3
13037,C_01 C_03 C_12 C_24 C_27,0-3-3
13038,C_01 C_11 C_12 C_18 C_27,1-7-1
13039,C_12 C_16 C_19 C_21 C_28,0-8-2
13040,C_03 C_12 C_13 C_17 C_22,0-7-4
13041,C_01 C_07 C_09 C_21 C_26,0-8-1
13042,C_00 C_22 C_24 C_25 C_26,0-7-0
13043,C_01 C_11 C_15 C_17 C_27,1-5-4
13044,C_01 C_09 C_12 C_24 C_26,1-3-3
13045,C_02 C_14 C_17 C_21 C_29,0-9-2
13046,C_03 C_12 C_13 C_16 C_24,1-6-4
13047,C_04 C_06 C_15 C_21 C_28,0-8-1
13048,C_07 C_11 C_19 C_22 C_23,0-8-4
13049,C_00 C_10 C_11 C_20 C_26,1-5-3
13050,C_02 C_06 C_18 C_21 C_22,0-8-4
13051,C_10 C_12 C_15 C_26 C_27,1-3-0
13052,C_01 C_08 C_11 C_17 C_19,1-5-0
13053,C_09 C_11 C_15 C_23 C_28,0-8-1
13054,C_00 C_01 C_03 C_13 C_17,1-6-1
13055,C_05 C_07 C_14 C_16 C_26,1-9-0
13056,C_02 C_03 C_12 C_15 C_24,1-8-4
13057,C_01 C_13 C_23 C_25 C_26,0-8-1
13058,C_00 C_01 C_03 C_21 C_29,0-8-0
13059,C_00 C_15 C_19 C_22 C_23,1-8-3
13060,C_01 C_03 C_10 C_14 C_17,0-9-4
13061,C_02 C_17 C_18 C_20 C_28,0-8-1
13062,C_06 C_09 C_21 C_28 C_29,1-8-3
13063,C_01 C_11 C_12 C_21 C_28,0-8-3
13064,C_03 C_07 C_14 C_17 C_27,0-9-4
13065,C_02 C_09 C_11 C_15 C_17,0-8-2
13066,C_05 C_08 C_09 C_10 C_16,1-8-3
13067,C_01 C_02 C_07 C_21 C_25,1-8-1
13068,C_00 C_02 C_09 C_14 C_17,1-9-4
13069,C_02 C_03 C_11 C_25 C_27,0-8-3
13070,C_05 C_11 C_12 C_15 C_27,0-8-4
13071,C_01 C_12 C_22 C_23 C_28,1-8-4
13072,C_00 C_08 C_14 C_25 C_28,1-9-0
13073,C_16 C_19 C_21 C_26 C_28,0-8-0
13074,C_11 C_13 C_17 C_19 C_25,0-6-0
13075,C_02 C_08 C_12 C_24 C_25,1-8-4
13076,C_02 C_08 C_13 C_21 C_24,0-8-4
13077,C_08 C_11 C_13 C_15 C_25,1-6-2
13078,C_00 C_11 C_15 C_17 C_22,0-7-0
13079,C_17 C_19 C_20 C_21 C_29,1-8-2
13080,C_10 C_11 C_24 C_26 C_28,1-7-3
13081,C_09 C_10 C_12 C_13 C_27,0-6-1
13082,C_13 C_14 C_16 C_24 C_25,0-9-1
13083,C_04 C_06 C_11 C_19 C_23,0-8-4
13084,C_10 C_20 C_22 C_23 C_24,0-8-3
13085,C_02 C_03 C_10 C_18 C_25,0-8-3
13086,C_00 C_13 C_20 C_22 C_28,1-7-1
13087,C_04 C_05 C_07 C_20 C_25,1-8-1
13088,C_08 C_17 C_20 C_22 C_26,0-7-4
13089,C_03 C_09 C_13 C_19 C_27,0-6-2
13090,C_00 C_01 C_22 C_23 C_29,0-8-3
13091,C_02 C_10 C_13 C_17 C_26,1-8-2
13092,C_00 C_09 C_12 C_15 C_21,1-8-3
13093,C_01 C_16 C_20 C_26 C_29,0-4-3
13094,C_04 C_06 C_16 C_17 C_28,0-7-3
13095,C_01 C_02 C_19 C_21 C_29,1-8-0
13096,C_03 C_04 C_06 C_11 C_28,1-7-2
13097,C_08 C_19 C_20 C_22 C_27,0-7-0
13098,C_09 C_14 C_17 C_22 C_28,0-9-1
13099,C_12 C_14 C_19 C_20 C_27,1-9-0
13100,C_00 C_02 C_07 C_19 C_23,0-8-1
13101,C_04 C_07 C_12 C_25 C_26,1-5-4
13102,C_01 C_07 C_15 C_22 C_23,0-8-1
13103,C_07 C_12 C_23 C_25 C_29,0-8-4
13104,C_06 C_10 C_12 C_20 C_22,0-7-2
13105,C_02 C_09 C_10 C_18 C_21,1-8-3
13106,C_15 C_20 C_23 C_24 C_27,1-8-0
13107,C_12 C_14 C_16 C_17 C_28,1-9-4
13108,C_00 C_06 C_14 C_22 C_28,1-9-1
13109,C_06 C_17 C_23 C_26 C_29,0-8-4
13110,C_04 C_11 C_19 C_20 C_27,1-5-3
13111,C_01 C_08 C_19 C_24 C_25,0-5-4
13112,C_00 C_02 C_04 C_05 C_26,1-8-0
13113,C_02 C_12 C_15 C_28 C_29,1-8-0
13114,C_05 C_09 C_14 C_19 C_23,0-9-3
13115,C_00 C_05 C_18 C_22 C_26,0-8-4
13116,C_01 C_03 C_11 C_26 C_29,1-5-0
13117,C_01 C_06 C_18 C_22 C_28,1-7-0
13118,C_06 C_07 C_10 C_15 C_27,1-3-0
13119,C_07 C_13 C_17 C_21 C_28,0-8-1
13120,C_06 C_08 C_17 C_22 C_23,1-8-2
13121,C_05 C_16 C_17 C_21 C_25,0-8-3
13122,C_03 C_05 C_12 C_23 C_28,0-8-1
13123,C_01 C_08 C_11 C_15 C_25,1-5-3
13124,C_01 C_08 C_17 C_18 C_23,1-8-4
13125,C_07 C_15 C_16 C_21 C_23,0-8-3
13126,C_03 C_13 C_17 C_20 C_28,0-7-4
13127,C_01 C_07 C_14 C_21 C_23,1-9-1
13128,C_04 C_12 C_19 C_20 C_24,0-5-2
13129,C_00 C_15 C_17 C_25 C_29,1-5-4
13130,C_06 C_08 C_10 C_13 C_24,1-6-4
13131,C_02 C_03 C_06 C_23 C_27,0-8-2
13132,C_03 C_08 C_12 C_20 C_29,0-5-1
13133,C_14 C_21 C_22 C_23 C_26,1-9-3
13134,C_08 C_09 C_17 C_25 C_26,0-5-1
13135,C_11 C_19 C_20 C_22 C_28,1-7-3
13136,C_03 C_12 C_13 C_16 C_26,1-6-4
13137,C_07 C_10 C_11 C_14 C_25,0-9-1
13138,C_01 C_07 C_10 C_15 C_22,1-7-3
13139,C_01 C_05 C_06 C_07 C_27,1-8-4
13140,C_10 C_15 C_21 C_25 C_28,1-8-3
13141,C_07 C_17 C_22 C_23 C_26,1-8-4
13142,C_05 C_09 C_11 C_12 C_23,0-8-4
13143,C_01 C_23 C_24 C_25 C_27,1-8-4
13144,C_00 C_03 C_04 C_11 C_24,0-5-1
13145,C_01 C_06 C_08 C_12 C_18,0-7-1
13146,C_02 C_14 C_17 C_21 C_24,0-9-2
13147,C_05 C_18 C_21 C_25 C_27,0-8-0
13148,C_05 C_10 C_11 C_25 C_29,1-8-0
13149,C_06 C_07 C_08 C_16 C_19,1-5-3
13150,C_05 C_06 C_11 C_14 C_20,0-9-3
13151,C_01 C_03 C_04 C_09 C_10,1-3-2
13152,C_05 C_08 C_16 C_19 C_21,1-8-1
13153,C_00 C_03 C_11 C_13 C_26,0-6-0
13154,C_02 C_03 C_16 C_17 C_29,0-8-4
13155,C_06 C_07 C_09 C_22 C_24,1-7-0
13156,C_00 C_01 C_05 C_09 C_23,1-8-2
13157,C_05 C_08 C_20 C_24 C_27,1-8-2
13158,C_04 C_07 C_12 C_21 C_28,1-8-2
13159,C_02 C_04 C_18 C_20 C_24,0-8-4
13160,C_00 C_02 C_23 C_26 C_28,1-8-0
13161,C_00 C_07 C_20 C_22 C_25,1-7-4
13162,C_03 C_04 C_08 C_09 C_23,1-8-1
13163,C_04 C_05 C_13 C_22 C_25,0-8-3
13164,C_01 C_05 C_16 C_19 C_29,1-8-0
13165,C_01 C_04 C_10 C_19 C_29,1-5-3
13166,C_06 C_10 C_11 C_12 C_22,0-7-4
13167,C_00 C_01 C_07 C_09 C_19,1-5-3
13168,C_02 C_03 C_18 C_22 C_24,1-8-1
13169,C_05 C_13 C_26 C_28 C_29,1-8-4
13170,C_05 C_13 C_18 C_19 C_24,0-8-1
13171,C_02 C_12 C_14 C_17 C_26,1-9-4
13172,C_00 C_02 C_14 C_16 C_20,1-9-4
13173,C_01 C_04 C_15 C_20 C_21,0-8-3
13174,C_01 C_02 C_14 C_26 C_27,1-9-2
13175,C_10 C_13 C_16 C_22 C_23,1-8-2
13176,C_00 C_06 C_07 C_10 C_22,0-7-2
13177,C_01 C_06 C_20 C_27 C_28,1-7-3
13178,C_07 C_16 C_17 C_23 C_24,1-8-1
13179,C_16 C_19 C_20 C_27 C_29,0-5-1
13180,C_07 C_13 C_14 C_16 C_25,0-9-1
13181,C_02 C_07 C_15 C_24 C_28,1-8-3
13182,C_03 C_11 C_12 C_28 C_29,0-7-2
13183,C_08 C_14 C_20 C_23 C_29,0-9-1
13184,C_06 C_11 C_18 C_22 C_23,1-8-1
13185,C_03 C_09 C_18 C_19 C_26,1-7-2
13186,C_03 C_10 C_13 C_20 C_21,1-8-4
13187,C_01 C_08 C_09 C_20 C_27,0-5-3
13188,C_01 C_02 C_07 C_16 C_29,0-8-3
13189,C_06 C_12 C_14 C_16 C_23,0-9-4
13190,C_06 C_11 C_17 C_26 C_27,1-5-2
13191,C_02 C_04 C_11 C_26 C_27,0-8-2
13192,C_06 C_14 C_19 C_23 C_29,0-9-4
13193,C_00 C_05 C_22 C_24 C_28,0-8-3
13194,C_02 C_04 C_05 C_15 C_23,1-8-3
13195,C_01 C_13 C_14 C_21 C_22,1-9-2
13196,C_11 C_20 C_26 C_27 C_29,1-5-2
13197,C_03 C_04 C_08 C_19 C_27,1-5-3
13198,C_09 C_23 C_24 C_27 C_28,0-8-3
13199,C_00 C_04 C_15 C_18 C_28,0-7-1
13200,C_10 C_15 C_16 C_17 C_20,0-4-1
13201,C_11 C_13 C_15 C_23 C_29,0-8-4
13202,C_04 C_09 C_19 C_22 C_27,1-7-1
13203,C_01 C_04 C_07 C_15 C_29,0-3-4
13204,C_00 C_01 C_07 C_19 C_22,1-7-4
13205,C_05 C_13 C_18 C_24 C_26,1-8-0
13206,C_08 C_10 C_15 C_17 C_20,1-5-3
13207,C_00 C_10 C_13 C_19 C_22,0-7-0
13208,C_05 C_06 C_10 C_11 C_25,1-8-2
13209,C_00 C_14 C_17 C_23 C_24,1-9-4
13210,C_00 C_17 C_19 C_24 C_25,1-5-1
13211,C_03 C_12 C_18 C_23 C_26,1-8-2
13212,C_01 C_03 C_09 C_11 C_15,1-5-0
13213,C_01 C_08 C_15 C_16 C_21,1-8-4
13214,C_00 C_17 C_23 C_26 C_29,1-8-3
13215,C_04 C_12 C_16 C_18 C_21,0-8-2
13216,C_04 C_06 C_12 C_21 C_27,1-8-1
13217,C_00 C_02 C_16 C_18 C_20,1-8-4
13218,C_10 C_19 C_26 C_27 C_28,1-7-0
13219,C_07 C_14 C_23 C_26 C_29,1-9-1
13220,C_06 C_15 C_18 C_19 C_20,0-7-2
13221,C_01 C_02 C_10 C_14 C_23,0-9-2
13222,C_18 C_19 C_21 C_27 C_28,1-8-4
13223,C_11 C_20 C_26 C_28 C_29,1-7-0
13224,C_08 C_10 C_13 C_26 C_28,1-7-2
13225,C_12 C_16 C_19 C_22 C_23,0-8-4
13226,C_07 C_17 C_23 C_24 C_29,0-8-2
13227,C_01 C_12 C_18 C_27 C_28,0-7-0
13228,C_08 C_09 C_16 C_28 C_29,1-7-1
13229,C_05 C_09 C_23 C_25 C_27,0-8-0
13230,C_07 C_10 C_17 C_19 C_25,1-5-2
13231,C_04 C_10 C_13 C_18 C_29,0-7-2
13232,C_00 C_02 C_03 C_20 C_25,1-8-0
13233,C_05 C_09 C_20 C_23 C_27,0-8-2
13234,C_03 C_15 C_21 C_24 C_27,1-8-0
13235,C_02 C_06 C_23 C_26 C_29,0-8-1
13236,C_05 C_10 C_14 C_16 C_26,0-9-2
13237,C_03 C_04 C_12 C_23 C_25,1-8-3
13238,C_01 C_19 C_20 C_23 C_24,0-8-0
13239,C_02 C_07 C_12 C_16 C_27,1-8-2
13240,C_01 C_07 C_13 C_19 C_27,0-6-2
13241,C_01 C_16 C_20 C_26 C_27,0-4-0
13242,C_02 C_03 C_16 C_24 C_27,1-8-4
13243,C_00 C_02 C_11 C_12 C_16,1-8-2
13244,C_01 C_05 C_06 C_10 C_24,0-8-4
13245,C_00 C_03 C_19 C_24 C_29,1-5-1
13246,C_09 C_13 C_18 C_23 C_24,1-8-1
13247,C_00 C_12 C_13 C_15 C_23,0-8-1
13248,C_01 C_05 C_09 C_16 C_21,0-8-0
13249,C_08 C_16 C_19 C_22 C_29,0-7-3
13250,C_00 C_08 C_13 C_20 C_23,0-8-0
13251,C_09 C_13 C_14 C_19 C_22,1-9-4
13252,C_15 C_18 C_20 C_22 C_28,0-7-1
13253,C_02 C_11 C_14 C_17 C_21,1-9-3
13254,C_01 C_02 C_05 C_18 C_22,1-8-2
13255,C_03 C_08 C_09 C_20 C_26,1-5-0
13256,C_08 C_10 C_13 C_22 C_28,0-7-4
13257,C_03 C_06 C_12 C_17 C_24,0-3-0
13258,C_10 C_13 C_18 C_19 C_27,0-7-0
13259,C_07 C_08 C_18 C_20 C_25,1-7-3
13260,C_00 C_11 C_17 C_19 C_27,1-5-2
13261,C_02 C_05 C_06 C_09 C_13,1-8-1
13262,C_05 C_11 C_13 C_14 C_24,0-9-1
13263,C_10 C_12 C_20 C_21 C_28,0-8-3
13264,C_05 C_12 C_15 C_17 C_28,0-8-3
13265,C_08 C_15 C_18 C_20 C_24,1-7-0
13266,C_07 C_10 C_18 C_22 C_26,1-7-0
